,pixel_density_0,pixel_density_value_0,edge_density_0,edge_direction_0,mean_pixel_density_0,contrast_0,correlation_0,energy_0,dissimilarity_0,homogeneity_0,ASM_0,mean_gabor_value_0,LBP_0,canny_mean_0,HOG_0,pixel_density_1,pixel_density_value_1,edge_density_1,edge_direction_1,mean_pixel_density_1,contrast_1,correlation_1,energy_1,dissimilarity_1,homogeneity_1,ASM_1,mean_gabor_value_1,LBP_1,canny_mean_1,HOG_1,pixel_density_2,pixel_density_value_2,edge_density_2,edge_direction_2,mean_pixel_density_2,contrast_2,correlation_2,energy_2,dissimilarity_2,homogeneity_2,ASM_2,mean_gabor_value_2,LBP_2,canny_mean_2,HOG_2,pixel_density_3,pixel_density_value_3,edge_density_3,edge_direction_3,mean_pixel_density_3,contrast_3,correlation_3,energy_3,dissimilarity_3,homogeneity_3,ASM_3,mean_gabor_value_3,LBP_3,canny_mean_3,HOG_3,pixel_density_4,pixel_density_value_4,edge_density_4,edge_direction_4,mean_pixel_density_4,contrast_4,correlation_4,energy_4,dissimilarity_4,homogeneity_4,ASM_4,mean_gabor_value_4,LBP_4,canny_mean_4,HOG_4,pixel_density_5,pixel_density_value_5,edge_density_5,edge_direction_5,mean_pixel_density_5,contrast_5,correlation_5,energy_5,dissimilarity_5,homogeneity_5,ASM_5,mean_gabor_value_5,LBP_5,canny_mean_5,HOG_5,target
0,4,346,0.17541595,1,0.539581857,163.3557846,0.901235575,0.04528017,6.885179271,0.281834726,0.002050294,-174.2317297,0.116896156,0.168125,0.130873978,0,397,0.164945496,1,0.500669907,107.4168965,0.934811307,0.066999072,5.652053999,0.311794349,0.004488876,289.9375524,0.15232358,0.1659375,0.134671457,4,277,0.196757882,1,0.499448857,163.2255345,0.896327316,0.041184581,6.884372177,0.258001539,0.00169617,-74.1732398,0.114069007,0.1659375,0.136292301,0,419,0.178959741,1,0.479051356,104.0046104,0.929553763,0.069842206,5.713117192,0.298571845,0.004877934,177.7960059,0.152806347,0.1778125,0.135653387,4,155,0.188734568,1,0.501247277,160.6739063,0.864550786,0.033258502,7.06984375,0.240779516,0.001106128,-62.21075567,0.108487654,0.1625,0.134992018,0,356,0.199847561,1,0.511097561,118.1365741,0.897105599,0.05998582,6.546141975,0.258897712,0.003598299,71.24985712,0.138567073,0.1671875,0.134976536,0
1,5,244,0.192917548,1,0.78846692,318.4624332,0.894689986,0.027530208,9.86697861,0.196875075,0.000757912,-354.6731639,0.084434461,0.1771875,0.131197284,6,146,0.206504702,1,0.815936751,269.8591438,0.900162941,0.026952526,9.042547569,0.203261144,0.000726439,259.5615881,0.091954023,0.181875,0.134315789,6,190,0.207138994,1,0.700925779,249.3745554,0.912898357,0.026865752,8.875239398,0.194346626,0.000721769,-182.6459556,0.091535965,0.1778125,0.13511842,7,219,0.200108167,1,0.644306939,225.8923393,0.917112534,0.034560342,8.426128591,0.213356831,0.001194417,223.8467077,0.109518659,0.17125,0.137375317,7,136,0.221714444,1,0.735055435,270.8006444,0.889568647,0.023561841,9.561081535,0.174606649,0.00055516,-216.4771018,0.08322947,0.1915625,0.135365081,7,161,0.200941698,1,0.605400914,258.2238722,0.88244264,0.031704738,8.904455029,0.210528523,0.00100519,148.9881144,0.107325855,0.1753125,0.140920439,1
2,3,293,0.146802326,1,0.532640789,89.33958333,0.910091238,0.047371577,5.281495098,0.299389644,0.002244066,-114.2679618,0.128149225,0.158125,0.134000617,0,767,0.158914729,1,0.474790527,85.98517157,0.935313874,0.100156743,4.959681373,0.345370872,0.010031373,202.7722186,0.187378876,0.171875,0.131342155,3,441,0.160425164,1,0.457670469,87.78582146,0.916897387,0.049964186,5.431732933,0.294520741,0.00249642,-218.7803141,0.132616487,0.1525,0.132084505,0,754,0.16722284,1,0.419533687,84.11577894,0.930989384,0.100659559,5.119529882,0.340239423,0.010132347,183.4219266,0.188975405,0.16625,0.133314353,4,286,0.174074074,1,0.383219732,85.3935743,0.897280291,0.044604034,5.424631861,0.278586858,0.00198952,-70.97841888,0.128571429,0.1734375,0.140565693,0,718,0.187320261,1,0.404807382,85.98108466,0.895316834,0.096474195,5.510185185,0.301670133,0.00930727,50.64345349,0.170196078,0.1834375,0.135182023,0
3,0,512,0.157051736,1,0.321285696,106.7582496,0.847107996,0.068418858,5.83974175,0.278282316,0.00468114,-106.7971517,0.158610914,0.1475,0.136647227,0,421,0.131372549,1,0.327889273,97.82593905,0.848837647,0.060956191,5.367540751,0.273454746,0.003715657,110.0584036,0.150980392,0.1421875,0.138968876,0,425,0.164005602,1,0.293802933,161.720805,0.719820283,0.056843523,6.675170068,0.265687637,0.003231186,-50.61783129,0.15,0.1478125,0.138788845,0,435,0.151260504,1,0.292601747,103.1625567,0.803814753,0.06433975,5.596230159,0.29523367,0.004139603,98.4372821,0.159663866,0.14375,0.141230526,0,560,0.159331881,1,0.262574224,113.4054968,0.810783625,0.07391965,5.819958848,0.300141686,0.005464115,-117.9590776,0.17037037,0.1496875,0.141870653,0,470,0.152167672,1,0.246003276,94.2724764,0.806750401,0.068049849,5.31503268,0.302680894,0.004630782,164.2039474,0.16838932,0.145625,0.141125395,0
4,6,188,0.18167789,1,0.82026804,312.578125,0.901521552,0.027023564,9.759943182,0.192277137,0.000730273,-298.4501949,0.092171717,0.1909375,0.131017917,5,179,0.17558204,1,0.854816095,331.2936308,0.900093785,0.025722418,9.839085297,0.195268044,0.000661643,336.0638677,0.089384701,0.189375,0.131359446,5,176,0.182282069,1,0.801033893,431.2581062,0.853557301,0.025492843,11.01936872,0.182555201,0.000649885,-310.2767185,0.094259391,0.1709375,0.132015777,6,160,0.180581148,1,0.790303081,357.4199426,0.877602573,0.025493045,10.0974175,0.193252028,0.000649895,431.9459353,0.087880936,0.174375,0.134801721,5,186,0.187142427,1,0.694014914,432.7292683,0.86868649,0.026207988,11.2347561,0.182952096,0.000686859,-299.0397413,0.094098163,0.1640625,0.136578313,6,220,0.200029744,1,0.660954614,389.419452,0.855645802,0.027904889,10.56729901,0.189616924,0.000778683,370.8374718,0.093248067,0.19125,0.134539231,0
5,4,317,0.195689166,1,0.596389844,147.3815676,0.925544767,0.043950278,7.209302326,0.240883448,0.001931627,-305.4866193,0.126347136,0.178125,0.133843859,0,741,0.176687465,1,0.630763071,159.0816825,0.933096756,0.108215222,6.707579673,0.301749757,0.011710534,215.2249426,0.181225184,0.1928125,0.130956482,0,238,0.184935438,1,0.57104397,133.4062455,0.927865859,0.044776763,6.6291939,0.250150681,0.002004959,-229.2123505,0.122238164,0.173125,0.136674568,0,801,0.166857963,1,0.534936282,123.8210603,0.948409845,0.118319086,5.911111111,0.325611939,0.013999406,360.4900549,0.198995696,0.149375,0.131281308,0,206,0.225,1,0.574787385,156.7027604,0.869427021,0.038821346,7.661430532,0.209502062,0.001507097,-68.04334405,0.118072289,0.2028125,0.136904524,0,753,0.18875502,1,0.553275411,127.1459337,0.930458406,0.113424113,6.374246988,0.281639496,0.012865029,117.1489486,0.182210323,0.1959375,0.136347593,0
6,0,316,0.177000721,1,0.292022562,91.51324201,0.869643839,0.058019121,5.3543379,0.287514673,0.003366218,-26.17936338,0.14185292,0,0.141440638,1,205,0.162604519,1,0.27172473,93.63734679,0.87707868,0.045212975,5.617159337,0.269968107,0.002044213,64.05531938,0.132538694,0,0.14285861,0,262,0.17123538,1,0.289153337,82.88740741,0.864937494,0.051199434,5.247777778,0.273446878,0.002621382,70.01339515,0.137244152,0,0.144364196,7,223,0.167214912,1,0.25876763,93.10518519,0.869839332,0.040625257,5.822962963,0.244380909,0.001650412,27.13852469,0.125182749,0,0.143720755,0,229,0.178779343,1,0.303887324,82.05538637,0.856282608,0.052061926,5.702131709,0.234893006,0.002710444,65.23890671,0.125446009,0.016666667,0.143787298,8,198,0.191067457,1,0.310692016,114.1320188,0.870043232,0.036288134,6.824976526,0.212632699,0.001316829,24.7247014,0.118606375,0,0.145355307,1
7,5,269,0.191611641,1,0.813929769,193.257051,0.922635228,0.029522618,8.233052944,0.195380451,0.000871585,-263.7409324,0.097823429,0.1834375,0.132671761,5,257,0.191489362,1,0.808467971,230.2642455,0.91554097,0.030857778,8.319271215,0.214868117,0.000952202,336.8672963,0.107350097,0.1903125,0.134251405,5,386,0.183441558,1,0.713812658,218.6676772,0.922088935,0.035914401,8.561071113,0.216142613,0.001289844,-377.7687607,0.107017982,0.1640625,0.13582927,5,382,0.190764292,1,0.714702614,193.7746004,0.933304401,0.038279267,8.003871129,0.220043893,0.001465302,390.7148539,0.115322879,0.1715625,0.133211355,5,228,0.21825715,1,0.660095602,211.154023,0.89288054,0.026893761,8.665855308,0.184760142,0.000723274,-211.3424417,0.091285752,0.1934375,0.13961965,5,201,0.22507351,1,0.659850307,179.2788371,0.913019942,0.029931066,8.137525355,0.194343402,0.000895869,230.9021795,0.103047314,0.194375,0.136717277,0
8,4,179,0.188244048,1,0.837901202,278.2417169,0.925779766,0.027989058,8.775853414,0.221653751,0.000783387,-283.9657052,0.10094246,0.1571875,0.12694645,0,457,0.187132353,1,0.889170992,297.8200645,0.938399271,0.058366585,8.7578125,0.241767743,0.003406658,194.7581763,0.126960784,0.17375,0.131553042,4,141,0.207590133,1,0.737726681,315.4054019,0.871608689,0.027223193,9.730286738,0.206860917,0.000741102,-171.016355,0.096394687,0.1984375,0.136437198,0,464,0.196710942,1,0.731828701,280.2215822,0.901636361,0.061201974,8.817844342,0.243185376,0.003745682,126.7688823,0.133839342,0.203125,0.137011257,5,238,0.198051948,1,0.626324166,290.8452903,0.881101507,0.032152296,9.427710843,0.212771274,0.00103377,-185.8226088,0.10646645,0.1671875,0.137061037,0,456,0.185741342,1,0.606472816,221.293264,0.911048397,0.066213274,7.861171961,0.258759461,0.004384198,26.81640737,0.142721861,0.16625,0.136748732,0
9,0,250,0.20125,1,0.473691176,229.8987342,0.856555147,0.036432112,9.112974684,0.191714819,0.001327299,-268.0583908,0.1275,0.1859375,0.138155744,0,776,0.180864198,1,0.402276688,152.2321875,0.907021583,0.102188217,7.030625,0.293161148,0.010442432,311.424696,0.199537037,0.17875,0.135095786,0,432,0.212431029,1,0.465465758,284.2155187,0.825468678,0.060880541,9.922242315,0.208182634,0.00370644,-162.6680243,0.154982149,0,0.136952624,0,732,0.20529049,1,0.432745289,199.247082,0.871301902,0.108203471,8.402761795,0.259164425,0.011707991,233.960371,0.196689387,0,0.138257736,0,230,0.225108225,1,0.471502928,362.6412776,0.81619469,0.040135091,11.38259038,0.164307102,0.001610825,-62.6024576,0.130909091,0.008333333,0.140142721,0,572,0.242077922,1,0.493058314,277.7012987,0.832415292,0.095728147,10.05580906,0.216078552,0.009163878,13.40679136,0.179047619,0.316666667,0.139888002,0
